state,city,link,address,postal,phone
Alabama,"Birmingham, The Summit",https://www.apple.com/retail/thesummit/,217 Summit BoulevardBirminghamAL,35243,(205) 909-2570
Alaska,"Anchorage, Anchorage 5th Avenue Mall",https://www.apple.com/retail/anchorage5thavenuemall/,320 West 5th AvenueAnchorageAK,99501,(907) 257-1900
Arizona,"Chandler, Chandler Fashion Center",https://www.apple.com/retail/chandlerfashioncenter/,3111 W Chandler BoulevardChandlerAZ,85226,(480) 636-3900
Arkansas,"Little Rock, The Promenade at Chenal",https://www.apple.com/retail/thepromenadeatchenal/,17711 Chenal ParkwayLittle RockAR,72223,(501) 821-5130
California,"Bakersfield, Valley Plaza",https://www.apple.com/retail/valleyplaza/,2701 Ming AvenueBakersfieldCA,93304,(661) 396-3480
Colorado,"Boulder, Twenty Ninth Street",https://www.apple.com/retail/twentyninthstreet/,1755 29th StreetBoulderCO,80301,(720) 479-9451
Connecticut,"Danbury, Danbury Fair Mall",https://www.apple.com/retail/danburyfairmall/,Seven Backus AvenueDanburyCT,06810,(203) 546-6340
Delaware,"Newark, Christiana Mall",https://www.apple.com/retail/christianamall/,125 Christiana MallNewarkDE,19702,(302) 533-3514
District of Columbia,"Washington, Carnegie Library",https://www.apple.com/retail/carnegielibrary/,,,
Florida,"Altamonte Springs, Altamonte",https://www.apple.com/retail/altamonte/,451 E Altamonte DriveAltamonte SpringsFL,32701,(407) 551-0404
Georgia,"Alpharetta, Avalon",https://www.apple.com/retail/avalon/,8130 Avalon BoulevardAlpharettaGA,30009,(770) 510-1670
Hawaii,"Honolulu, Ala Moana",https://www.apple.com/retail/alamoana/,1450 Ala Moana BoulevardHonoluluHI,96814,(808) 983-7650
Idaho,"Boise, Boise Towne Square",https://www.apple.com/retail/boisetownesquare/,350 North Milwaukee StreetBoiseID,83704,(208) 377-6500
Illinois,"Chicago, Lincoln Park",https://www.apple.com/retail/lincolnpark/,801 W. North AvenueChicagoIL,60642,(312) 777-4200
Indiana,"Indianapolis, The Fashion Mall at Keystone",https://www.apple.com/retail/thefashionmallatkeystone/,8702 Keystone CrossingIndianapolisIN,46240,(317) 814-3740
Iowa,"West Des Moines, Jordan Creek",https://www.apple.com/retail/jordancreek/,101 Jordan Creek ParkwayWest Des MoinesIA,50266,(515) 440-9900
Kansas,"Leawood, Leawood",https://www.apple.com/retail/leawood/,4529 West 119th StreetLeawoodKS,66209,(913) 234-9800
Kentucky,"Lexington, Fayette Mall",https://www.apple.com/retail/fayettemall/,3401 Nicholasville RoadLexingtonKY,40503,(859) 971-5400
Louisiana,"Baton Rouge, Mall of Louisiana",https://www.apple.com/retail/malloflouisiana/,6401 Bluebonnet BoulevardBaton RougeLA,70836,(225) 765-3500
Maine,"South Portland, Maine Mall",https://www.apple.com/retail/mainemall/,364 Maine Mall RoadSouth PortlandME,04106,(207) 771-9400
